Advertiser,Campaign,Site (CM360),Placement,Ad,Creative,Date,Impressions,Clicks,Click Rate
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-FF-WBW-DE-Grm-16x9-30s,7/24/25,477,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-FF-WBW-DE-Grm-16x9-30s,7/25/25,478,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-FF-WBW-DE-Grm-16x9-30s,7/26/25,464,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-FF-WBW-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-FF-WBW-DE-Grm-16x9-30s,7/27/25,491,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-MG-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-MG-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-MG-HV-DE-Grm-16x9-30s,7/21/25,541,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-MG-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-MG-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-MG-HV-DE-Grm-16x9-30s,7/22/25,530,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-MG-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-MG-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-MG-HV-DE-Grm-16x9-30s,7/23/25,485,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-MG-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-MG-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-MG-HV-DE-Grm-16x9-30s,7/24/25,485,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-MG-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-MG-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-MG-HV-DE-Grm-16x9-30s,7/25/25,490,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-MG-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-MG-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-MG-HV-DE-Grm-16x9-30s,7/26/25,475,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-MG-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP1-MG-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-MG-HV-DE-Grm-16x9-30s,7/27/25,451,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-CE-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-CE-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-CE-HV-DE-Grm-16x9-30s,7/21/25,1853,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-CE-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-CE-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-CE-HV-DE-Grm-16x9-30s,7/22/25,1301,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-CE-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-CE-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-CE-HV-DE-Grm-16x9-30s,7/23/25,1556,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-CE-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-CE-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-CE-HV-DE-Grm-16x9-30s,7/24/25,1530,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-CE-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-CE-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-CE-HV-DE-Grm-16x9-30s,7/25/25,1827,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-CE-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-CE-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-CE-HV-DE-Grm-16x9-30s,7/26/25,1849,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-CE-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-CE-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-CE-HV-DE-Grm-16x9-30s,7/27/25,1909,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-FF-WBW-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-FF-WBW-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-FF-WBW-DE-Grm-16x9-30s,7/21/25,1839,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-FF-WBW-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-FF-WBW-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-FF-WBW-DE-Grm-16x9-30s,7/22/25,1213,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-FF-WBW-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-FF-WBW-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-FF-WBW-DE-Grm-16x9-30s,7/23/25,1477,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-FF-WBW-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-FF-WBW-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-FF-WBW-DE-Grm-16x9-30s,7/24/25,1583,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-FF-WBW-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-FF-WBW-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-FF-WBW-DE-Grm-16x9-30s,7/25/25,1808,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-FF-WBW-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-FF-WBW-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-FF-WBW-DE-Grm-16x9-30s,7/26/25,1746,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-FF-WBW-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-FF-WBW-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-FF-WBW-DE-Grm-16x9-30s,7/27/25,1841,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-MG-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-MG-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-MG-HV-DE-Grm-16x9-30s,7/21/25,1850,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-MG-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-MG-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-MG-HV-DE-Grm-16x9-30s,7/22/25,1246,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-MG-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-MG-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-MG-HV-DE-Grm-16x9-30s,7/23/25,1564,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-MG-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-MG-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-MG-HV-DE-Grm-16x9-30s,7/24/25,1619,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-MG-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-MG-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-MG-HV-DE-Grm-16x9-30s,7/25/25,1771,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-MG-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-MG-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-MG-HV-DE-Grm-16x9-30s,7/26/25,1896,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-MG-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP2-MG-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-MG-HV-DE-Grm-16x9-30s,7/27/25,2039,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP5-CE-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP5-CE-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-CE-HV-DE-Grm-16x9-30s,7/21/25,254,0,0
Destination (VAD),AN~Destination (VAD)_OC~Summer 2025_CN~Summer 2025 T1_MK~MM_CA~Awareness_QU~Q2Q3_YR~2025_MB~Brand Awareness,AOD (AE),CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP5-CE-HV-DE-Grn-16x9-30s_AU~None,CH~Video_PB~AOD (AE)_SZ~0x0_DT~None_LG~Grn_MK~DE_PD~Awareness-Video-Summer25CTVP5-CE-HV-DE-Grn-16x9-30s_AU~None,Awareness-Video-Summer25-CE-HV-DE-Grm-16x9-30s,7/22/25,229,0,0
